NCT Number,Study Title,Study URL,Study Status,Study Results,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Enrollment,Funder Type,Study Type,Study Design,Completion Date,Locations
NCT05344144,"EFT and Music on Psychological Development, Well-Being Status and Cortisol Level in Pregnant Women",https://clinicaltrials.gov/study/NCT05344144,COMPLETED,NO,Pregnancy Loss|Anxiety,OTHER: Emotional Freedom Technique|OTHER: Music,Kahramanmaras Sutcu Imam University,,FEMALE,ADULT,159,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2021-10-06,"Kahramanmaras Sutcu Imam University, Kahramanmaraş, Turkey"
NCT04850807,Music & MEmory: A Pragmatic TRial for Nursing Home Residents With ALzheimer's Disease (METRIcAL)_part2,https://clinicaltrials.gov/study/NCT04850807,ENROLLING_BY_INVITATION,NO,Dementia,BEHAVIORAL: Music & Memory,Brown University,National Institute on Aging (NIA),ALL,"CHILD, ADULT, OLDER_ADULT",810,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (INVESTIGATOR)|Primary Purpose: SUPPORTIVE_CARE,2023-06-30,"PruittHealth, Norcross, Georgia, 30093, United States|Vetter Senior Living, Elkhorn, Nebraska, 68022, United States|CommuniCare Terrapins Division, Blue Ash, Ohio, 45241, United States|Good Samaritan Society, Sioux Falls, South Dakota, 57108, United States"
NCT06315985,Classical Turkish Music for Pregnant Women With Preeclampsia,https://clinicaltrials.gov/study/NCT06315985,NOT_YET_RECRUITING,NO,Pre-Eclampsia,OTHER: Experimental group: Listenning to the Turkish Classical Music to pregnant women diagnosed with preeclampsia,Tarsus University,,FEMALE,ADULT,142,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: SUPPORTIVE_CARE,2025-03-20,"Gülay Aksoy, Mersin, 33080, Turkey"
NCT06541782,Dyadic Creative Arts Therapies-based Intervention for Children With Intellectual and Developmental Disabilities,https://clinicaltrials.gov/study/NCT06541782,RECRUITING,NO,Intellectual Disabilities Global Developmental Delay,BEHAVIORAL: Dyadic CAT-based Intervention|BEHAVIORAL: Psycho-Educational Parent Counseling,University of Haifa,,ALL,CHILD,60,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2026-12,"University of Haifa, Haifa, Israel"
NCT03600987,Effect of Music on Reading Comprehension in Patients With Aphasia,https://clinicaltrials.gov/study/NCT03600987,COMPLETED,NO,Aphasia,BEHAVIORAL: Simultaneous music and reading lyrics|BEHAVIORAL: Priming with music|BEHAVIORAL: Control,Carilion Clinic,,ALL,"ADULT, OLDER_ADULT",4,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2019-10-17,"Carilion Franklin Memorial Hospital, Carilion Community Memorial Hospital Inpatient Rehab, Carilion Day Rehab, Rocky Mount, Virginia, 24151, United States"
NCT03759171,Music-instruction Intervention for Treatment of Post-traumatic Stress Disorder,https://clinicaltrials.gov/study/NCT03759171,COMPLETED,NO,"Stress Disorders, Post-Traumatic|Depression",OTHER: Guitars for Vets Intervention,Medical College of Wisconsin,VA Office of Research and Development|Milwaukee VA Medical Center,ALL,"ADULT, OLDER_ADULT",40,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: TREATMENT,2011-09-30,
NCT06366360,Immersive Virtual Reality Treatment for Unilateral Spatial Neglect,https://clinicaltrials.gov/study/NCT06366360,RECRUITING,NO,Stroke|Unilateral Spatial Neglect,OTHER: Immersive Virtual Reality Intervention|OTHER: Conventional rehabilitation,Hopitaux de Saint-Maurice,,ALL,"ADULT, OLDER_ADULT",80,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2027-09,"Hôpitaux de Saint-Maurice, Saint-Maurice, 94410, France"
NCT03083977,Examining the Effects of Processed Music on Chronic Pain,https://clinicaltrials.gov/study/NCT03083977,TERMINATED,NO,Pain,OTHER: Safe and Sound Protocol,Indiana University,,ALL,"CHILD, ADULT, OLDER_ADULT",8,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2019-08-28,"Meadowood Retirement Community, Bloomington, Indiana, 47408, United States"
NCT06768996,"Music, Social Attention, and Dementia",https://clinicaltrials.gov/study/NCT06768996,RECRUITING,NO,Frontotemporal Dementia|Alzheimer Disease,BEHAVIORAL: Synchronous Rhythm Production|BEHAVIORAL: Solo Rhythm Production,"University of California, San Francisco",National Institute on Aging (NIA),ALL,"ADULT, OLDER_ADULT",80,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: OTHER,2025-12-01,"Sandler Neurosciences Center, San Francisco, California, 94158, United States"
NCT02875938,Effect of Music on Reading Comprehension for Patients With Aphasia,https://clinicaltrials.gov/study/NCT02875938,COMPLETED,NO,Aphasia,BEHAVIORAL: Simultaneous music and reading lyrics|BEHAVIORAL: Priming with music|BEHAVIORAL: Control,Carilion Clinic,,ALL,"ADULT, OLDER_ADULT",1,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2017-08,"Carilion Franklin Memorial Hospital, Rocky Mount, Virginia, 24151, United States"
NCT05602857,"Can Training Balance, or Enjoying Music, Improve Attention, Problem-solving and/or Behavior Control Abilities?",https://clinicaltrials.gov/study/NCT05602857,RECRUITING,NO,Executive Functions|Postural Balance,OTHER: Balance Training|OTHER: Music Training,University of British Columbia,"Natural Sciences and Engineering Research Council, Canada",ALL,CHILD,108,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: BASIC_SCIENCE,2024-12-30,"Developmental Cognitive Neuroscience Lab, Department of Psychiatry, UBC, Vancouver, British Columbia, V6T 2A1, Canada"
NCT04282798,Racial Variation in Response to Music Interventions for People With Alzheimer's Dementia,https://clinicaltrials.gov/study/NCT04282798,WITHDRAWN,NO,Alzheimer Disease,OTHER: Personalized Music Intervention,Johns Hopkins University,,ALL,"CHILD, ADULT, OLDER_ADULT",0,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2021-03,
NCT05918146,Dextrose Therapy on Physical Therapy in Subdeltoid Bursitis,https://clinicaltrials.gov/study/NCT05918146,NOT_YET_RECRUITING,NO,Subdeltoid Bursitis|Injection|Effect of Drug,DRUG: Dextrose|DRUG: Normal saline,Taipei Medical University,,ALL,"ADULT, OLDER_ADULT",46,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2024-06-30,"Shin Kong Wu Ho-Su Memorial Hospital, Taipei, 111-01, Taiwan"
NCT02932657,Perceived Impact of Art Therapy in Patients With Cystic Fibrosis and in Professional Interdisciplinary Teams Taking Care of Them.,https://clinicaltrials.gov/study/NCT02932657,COMPLETED,NO,Cystic Fibrosis,OTHER: Non interventional study,Nantes University Hospital,,ALL,"CHILD, ADULT, OLDER_ADULT",23,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2018-01-28,"Nantes University Hospital, Nantes, 44093, France|Foch Hospital, Suresnes, 92151, France"
NCT02583295,The Impact of Maternal Sound on Awareness for Pediatric Patients Undergoing Cardiac Surgery,https://clinicaltrials.gov/study/NCT02583295,COMPLETED,NO,Intraoperative Awareness,BEHAVIORAL: Music sound|BEHAVIORAL: Maternal sound,Assiut University,,ALL,CHILD,309,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",2017-09,"Faculty of Medicine, Assiut, Egypt"
NCT06713551,The Effect of Big Amplitude Calisthenic Group Exercises on Balance and Dual Task Performance in Older Adults,https://clinicaltrials.gov/study/NCT06713551,RECRUITING,NO,Older People,OTHER: Big Amplitude Calisthenic Group Exercise with Music|OTHER: Big Amplitude Calisthenic Group Exercise,Biruni University,,ALL,OLDER_ADULT,50,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (INVESTIGATOR)|Primary Purpose: TREATMENT,2025-02-28,"Biruni University, İstanbul, Turkey"
NCT04038593,Impacts of a Standardized Musical Intervention on Complex Dressing Care During Home Hospitalization (MUCAFOCSS),https://clinicaltrials.gov/study/NCT04038593,WITHDRAWN,NO,Bandage|Pain|Anxiety,OTHER: Youtube© relaxation music|DEVICE: MUSIC CARE© intervention,Fondation Oeuvre de la Croix Saint-Simon,,ALL,"ADULT, OLDER_ADULT",0,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2022-12,"Fondation Oeuvre de la Croix Saint-Simon, Paris, Ile De France, 75019, France"
NCT03852017,Investigating Mindfulness and Music to Ease Radiation Side Effects in Prostate Cancer,https://clinicaltrials.gov/study/NCT03852017,COMPLETED,NO,Prostate Cancer,BEHAVIORAL: Audio Program,Northwestern University,,MALE,"ADULT, OLDER_ADULT",59,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2018-01-08,
NCT06224660,Modulation of SERCA2a of Intra-Myocytic Calcium Trafficking in Cardiomyopathy Secondary to Duchenne Muscular Dystrophy,https://clinicaltrials.gov/study/NCT06224660,NOT_YET_RECRUITING,NO,DMD-Associated Dilated Cardiomyopathy,GENETIC: SRD-001,Sardocor Corp.,,MALE,"ADULT, OLDER_ADULT",12,INDUSTRY,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2030-02,
NCT04824183,Music Intervention for Preoperative Anxiety and Acute Pain Among Mastectomy Patients,https://clinicaltrials.gov/study/NCT04824183,COMPLETED,NO,"Breast Cancer|Mastectomy|Pain, Postoperative",OTHER: Music intervention,Chinese University of Hong Kong,,FEMALE,"ADULT, OLDER_ADULT",36,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE,2022-03-27,"Kamuzu Central Hospital, Lilongwe, Malawi|Lagos State University Teaching Hospital, Ikeja, Lagos, 23401, Nigeria|Lagos University Teaching Hospital, Lagos, Nigeria"
NCT01956136,Efficacy and Neural Basis of Music-based Neurological Rehabilitation for Traumatic Brain Injury,https://clinicaltrials.gov/study/NCT01956136,COMPLETED,NO,Traumatic Brain Injury (TBI),BEHAVIORAL: Music-based Neurological Rehabilitation (MBNR)|OTHER: Standard Care (SC),University of Helsinki,Helsinki University Central Hospital|Hospital District of Helsinki and Uusimaa|University of Jyvaskyla|Åbo Akademi University|University of Barcelona|University of Virginia|Validia Rehabilitation Helsinki,ALL,"CHILD, ADULT",40,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2018-12,"Helsinki University Central Hospital / Brain Injury Outpatients Clinic, Helsinki, Finland|Validia Rehabilitation Helsinki, Helsinki, Finland|Lohja Hospital, Department of Neurology, Lohja, Finland"
NCT06140342,A Music-Based Mobile App for People Living With Alzheimer's Disease and Related Dementias (ADRD),https://clinicaltrials.gov/study/NCT06140342,RECRUITING,NO,Dementia|Agitation|Depressive Symptoms,BEHAVIORAL: Feasibility study of music-based mobile app,Autotune Me LLC,University of Pennsylvania|National Institute on Aging (NIA),ALL,"CHILD, ADULT, OLDER_ADULT",20,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2025-01-01,"Autotune Me, LLC, Brooklyn, New York, 11224, United States"
NCT06349200,Comparing Binaural Beats and 432Hz Music for Reduction of Preoperative Anxiety in Root Canal Patients,https://clinicaltrials.gov/study/NCT06349200,COMPLETED,NO,Dental Anxiety,BEHAVIORAL: 432 Hz music|BEHAVIORAL: Binaural beats|BEHAVIORAL: White noise,Dow University of Health Sciences,,ALL,ADULT,99,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2024-05-02,"Dow University of Health Sciences, Karachi, Sindh, 74200, Pakistan"
NCT04293263,The Effect of Shared Listening to Personalized Music on Symptoms of Behavioral Disorders in the Elderly With Advanced Dementia,https://clinicaltrials.gov/study/NCT04293263,UNKNOWN,NO,Dementia,COMBINATION_PRODUCT: 2gether app used by trained personal,2gether,,ALL,"ADULT, OLDER_ADULT",42,INDUSTRY,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: TREATMENT,2021-04-01,
NCT06238869,Online Mental Health Interventions for Children and Adolescents (OMHICA),https://clinicaltrials.gov/study/NCT06238869,ENROLLING_BY_INVITATION,NO,Depression|Anxiety|Stress|Insomnia,BEHAVIORAL: Computerized Cognitive Behavioral Therapy|BEHAVIORAL: Music Therapy|BEHAVIORAL: Health education,Jiangsu Province Nanjing Brain Hospital,,ALL,"CHILD, ADULT",7000,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",2025-12-30,"Affiliated Brain Hospital of Nanjing Medical University, Nanjing, Jiangsu, 210024, China"
NCT02407444,Treatment Efficacy of Leg Cycling as Part of Physiotherapy Treatment in Elderly Patients With Hip Fracture,https://clinicaltrials.gov/study/NCT02407444,UNKNOWN,NO,Hip Fractures,OTHER: Physiotherapy treatment & leg cycling|OTHER: Physiotherapy treatment & music listening,Rabin Medical Center,Beit-Rivka Geriatric Rehabilitation Hospital,ALL,OLDER_ADULT,60,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2018-12,"""Beit- Rivka"" geriatric rehabilitation hospital, Petach tiqva, Israel"
NCT04429009,A Randomized Control Trial of ZEPHYRx Gamified Incentive Spirometry Compared to Traditional Spirometry,https://clinicaltrials.gov/study/NCT04429009,UNKNOWN,NO,Thoracic Surgery|Respiratory Therapy,DEVICE: ZEPHYRx Respiratory Therapy (RT) System|DEVICE: Standard Incentive Spirometer,My Music Machines Inc.,University of Rochester,ALL,"ADULT, OLDER_ADULT",100,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,2023-09-30,"University of Rochester Medical Center, Rochester, New York, 14642, United States"
NCT06728163,Impact of Virtual Reality (VR) and Music Intervention,https://clinicaltrials.gov/study/NCT06728163,RECRUITING,NO,General Anesthesia,OTHER: written education group|OTHER: VR educational material + breathing relaxation with verbal instruction|OTHER: VR educational material + breathing relaxation with music intervention|OTHER: written educational material + breathing relaxation with music intervention.,Yonsei University,,FEMALE,"ADULT, OLDER_ADULT",140,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: OTHER,2025-12-31,"Yonsei University Health System, Severance Hospital, Seoul, Korea, Republic of"
NCT01459692,Reduction and Prevention of Seizure Occurrence From Exposure to Auditory Stimulation in Individuals With Neurological Handicaps,https://clinicaltrials.gov/study/NCT01459692,COMPLETED,NO,Seizures|Epilepsy,OTHER: Music Exposure,Medical University of South Carolina,MIND Research Institute,ALL,"CHILD, ADULT, OLDER_ADULT",40,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2008-01,"Medical University of South Carolina, Charleston, South Carolina, 29412, United States"
NCT04513444,Interest of Medical Hypnosis in Anxious Patients Treated by Radiotherapy,https://clinicaltrials.gov/study/NCT04513444,RECRUITING,NO,Solid Tumor,OTHER: Relaxation with music listening and medical hypnosis during radiotherapy treatment:|OTHER: Relaxation with music listening during radiotherapy treatment:,Institut Claudius Regaud,,ALL,"ADULT, OLDER_ADULT",45,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2026-02,"Institut Universitaire du Cancer de Toulouse - Oncopole, Toulouse, 31059, France"
NCT06713252,Art Therapy and Its Effect on Non-Motor Function Rehabilitation in the Subacute Phase of Stroke Recovery,https://clinicaltrials.gov/study/NCT06713252,RECRUITING,NO,Stroke,BEHAVIORAL: Art therapy|BEHAVIORAL: Regular therapy,Chonbuk National University,,ALL,"ADULT, OLDER_ADULT",40,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2025-03,"Fuyuan People's Hospital, Jiamusi,, Heilongjiang, 156500, China"
NCT05283200,Creating a Healthy L.I.F.E: Lifestyle Interventions For Epilepsy,https://clinicaltrials.gov/study/NCT05283200,RECRUITING,NO,Lifestyle,BEHAVIORAL: Yoga|BEHAVIORAL: Cognitive Behavioral Therapy|BEHAVIORAL: Music,Imad Najm MD,,ALL,"ADULT, OLDER_ADULT",1000,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2026-06,"Cleveland Clinic, Cleveland, Ohio, 44195, United States"
NCT03035552,CTICU Pacifier Activated Music Player and Mother's Voice,https://clinicaltrials.gov/study/NCT03035552,COMPLETED,NO,"Heart Defects, Congenital",BEHAVIORAL: Pacifier activated music player,Nationwide Children's Hospital,American Heart Association,ALL,CHILD,61,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2023-12-31,"Nationwide Children's Hospital, Columbus, Ohio, 43205, United States"
NCT03872934,Effect of Different Music Types on Implant Surgery Anxiety,https://clinicaltrials.gov/study/NCT03872934,UNKNOWN,NO,"Anxiety, Dental",BEHAVIORAL: implant anxiety,Erzincan University,,ALL,"ADULT, OLDER_ADULT",80,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2020-01-15,
NCT05519488,Evaluation of an Algorithmically Enhanced Personalized Music-based Intervention on Stress Reduction in Cancer Patients,https://clinicaltrials.gov/study/NCT05519488,UNKNOWN,NO,Cancer|Stress,BEHAVIORAL: Rubato Life Music|BEHAVIORAL: Music of their desire,Rubato Life,,ALL,"ADULT, OLDER_ADULT",200,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, CARE_PROVIDER)|Primary Purpose: SUPPORTIVE_CARE",2024-09-01,"Saint Elizabeth's Medical Center, Boston, Massachusetts, 02135, United States"
NCT04170842,"Music During Paediatric Outpatient Wound Dressing Changes: Impact on Anxiety, Pain and Patient Satisfaction",https://clinicaltrials.gov/study/NCT04170842,COMPLETED,NO,Wound Heal,OTHER: Music intervention,KK Women's and Children's Hospital,,ALL,"CHILD, ADULT",48,OTHER_GOV,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2019-03-28,
NCT06469697,Zanzibar Arts for Children's Eyesight Pilot Trial,https://clinicaltrials.gov/study/NCT06469697,COMPLETED,NO,Myopia|Conjunctivitis|Hyperopia,BEHAVIORAL: School music broadcast|BEHAVIORAL: Community music broadcast,"Queen's University, Belfast","Ministry of Health and Social Welfare, Zanzibar",ALL,"CHILD, ADULT, OLDER_ADULT",1295,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (CARE_PROVIDER)|Primary Purpose: PREVENTION,2024-12-11,"Ministry of Health, Zanzibar, Tanzania"
NCT04229446,Music Based Caregiving in Patients With Pain and Dementia,https://clinicaltrials.gov/study/NCT04229446,COMPLETED,YES,"Pain|Dementia|Music|Activity, Motor|Quality of Life",BEHAVIORAL: Music based caregiving,Oslo University Hospital,Helse Midt-Norge|St. Olavs Hospital|University of Oslo|University of Bergen|Norwegian Centre for Ageing and Health,ALL,"CHILD, ADULT, OLDER_ADULT",276,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE,2020-08-05,"Oslo University Hospital, Oslo, Norway|St. Olavs hospital Trondheim University Hospital, Trondheim, Norway"
NCT05095792,Effect of Ketamine on Neurological Activity as Measured by Electroencephalogram (EEG),https://clinicaltrials.gov/study/NCT05095792,TERMINATED,NO,Treatment-resistant Depression,OTHER: Observational - no intervention,Entheon Biomedical Corp.,,ALL,ADULT,1,INDUSTRY,OBSERVATIONAL,Observational Model: |Time Perspective: p,2022-10-21,"Heading Health, Austin, Texas, 78746, United States"
NCT00992979,Therapeutic Massage to Manage Withdrawal Related Anxiety,https://clinicaltrials.gov/study/NCT00992979,COMPLETED,NO,Substance Withdrawal Syndrome|Drug Withdrawal Symptoms|Anxiety,PROCEDURE: Therapeutic Massage|PROCEDURE: Relaxation Control,Dalhousie University,Holistic Health Research Foundation of Canada,ALL,"ADULT, OLDER_ADULT",80,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2009-01,"Addiction Prevention and Treatment Services; Capital District, Halifax, Nova Scotia, B2Y 3Z6, Canada"
NCT06540157,Binaural Beat Music Combined With Rhythmic Photic Stimulation on Depression,https://clinicaltrials.gov/study/NCT06540157,COMPLETED,NO,Depression,OTHER: Binaural Beat Music (BBM) Combined with Rhythmic Photic Stimulation (RPS)|OTHER: Sham group,National Cheng Kung University,,ALL,OLDER_ADULT,48,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: SUPPORTIVE_CARE,2024-07-25,"Asia Univeraity, Taichung, WuFeng, 41354, Taiwan"
NCT03790462,Select Indian Ragas on Electrophysiological Parameters,https://clinicaltrials.gov/study/NCT03790462,COMPLETED,NO,"Psychology, Social|Stress|Stress, Psychological",OTHER: Music intervention,MS Ramaiah Medical College & Hospitals,Indian Council of Medical Research,ALL,ADULT,166,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE",2021-02-09,"M S Ramaiah Medical college and hospitals, Bangalore, Karnataka, 560054, India"
NCT06523283,"The Effect of Nature Images Accompanied by Music on Breastfeeding, Breastfeeding Satisfaction and Maternal Attachment""",https://clinicaltrials.gov/study/NCT06523283,RECRUITING,NO,Breast Feeding,OTHER: Natural Landscape Pictures Accompanied by Music,Hasan Kalyoncu University,,FEMALE,"ADULT, OLDER_ADULT",90,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE,2024-08-10,"Adiyaman University Education and Research Hospital, Adiyaman, 02100, Turkey"
NCT06259305,Memories in Heartbeats Study,https://clinicaltrials.gov/study/NCT06259305,RECRUITING,NO,Palliative Care,OTHER: Creation of a memory track combined with the baby's heartbeat,University Hospitals of Derby and Burton NHS Foundation Trust,"University Hospitals, Leicester",FEMALE,"ADULT, OLDER_ADULT",6,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2024-11,"Rainbows Hospice for Babies, Children and Young Adults Rainbows will be will be undertaking some of the core study coordination/management activities, Loughborough, LE112HS, United Kingdom"
NCT05398419,Music Interventions for the Facilitation of Sleep in the Acute Geriatric Setting,https://clinicaltrials.gov/study/NCT05398419,UNKNOWN,NO,Sleep Disturbance|Insomnia|Music Listening Intervention|Non-musical Sound Listening Intervention,OTHER: Music listening intervention|OTHER: Non-musical sounds listening intervention,McGill University,St. Mary's Hospital Foundation,ALL,OLDER_ADULT,50,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2022-10,"St. Mary's Hospital Center, Montréal, Quebec, H3T 1M5, Canada"
NCT05759286,A Blend of Lavender-neroli Oils Aromatherapy and Music for Managing Anxiety in a Pediatric Patient,https://clinicaltrials.gov/study/NCT05759286,COMPLETED,NO,Dental Anxiety,BEHAVIORAL: Aromatherapy|BEHAVIORAL: Music|BEHAVIORAL: Control,Damascus University,,ALL,CHILD,108,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: FACTORIAL|Masking: DOUBLE (INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2023-06-20,"College of Dentistry, Damascus, Al-Mazzeh Saint, Damascus P.O.Box 3062, Syrian Arab Republic"
NCT05574595,Effect on Pain and Comfort Associated With Fistula Puncture,https://clinicaltrials.gov/study/NCT05574595,UNKNOWN,NO,Hemodialysis Patients,OTHER: Music theraphy,Kırklareli University,,ALL,"ADULT, OLDER_ADULT",60,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: OTHER,2022-11-15,
NCT01600586,A Clinical Trial of A Pacifier-Activated Music Player,https://clinicaltrials.gov/study/NCT01600586,COMPLETED,YES,Prematurity,DEVICE: Pacifier-Activated-Lullaby system (PAL).,Vanderbilt University Medical Center,Vanderbilt Kennedy Center|National Center for Research Resources (NCRR),ALL,CHILD,100,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2013-06,"Monroe Carell Jr. Children's Hospital at Vanderbilt, Nashville, Tennessee, 37232, United States"
NCT04236557,Individualized Music Playlist Based on ISO-Principle for De-escalating Agitation of People Living With Dementia,https://clinicaltrials.gov/study/NCT04236557,COMPLETED,NO,Dementia,BEHAVIORAL: Music listening|BEHAVIORAL: Audio Book Listening,The Hong Kong Polytechnic University,,ALL,"ADULT, OLDER_ADULT",24,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2023-06-30,"School of Nursing, The Hong Kong Polytechnic University, Hong Kong, Hong Kong"
